Player,Tm,Age,Pos,G,GS,QBrec,Winning %,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Sk Yds,Sk%,NY/A,ANY/A,4QC,GWD,Data Plotted,R,Median Age,Avg. Rate > 27,Avg. Rate <= 27,Avg. Rate > 27,Avg. Rate <= 27
Tom Brady*,TAM,44,QB,17,17,13-4-0,76.5,485,719,67.45,5316,43,5.98,12,1.67,269,62,7.39,7.84,10.96,312.71,102.08,68.1,22,144,2.97,6.98,7.41,3,5,"W%,Cmp%",0.625,27,94.82,87.58,6.11,6.83
Justin Herbert*,LAC,23,QB,17,17,9-8-0,52.9,443,672,65.92,5014,38,5.65,15,2.23,256,72,7.46,7.59,11.32,294.94,97.66,65.6,31,214,4.41,6.83,6.95,5,5,"W%,TD%",0.71,,,,,
Patrick Mahomes*,KAN,26,QB,17,17,12-5-0,70.6,436,658,66.26,4839,37,5.62,13,1.98,260,75,7.35,7.59,11.1,284.65,98.45,62.2,28,146,4.08,6.84,7.07,3,3,"W%,INT%",-0.312,,,,,
Josh Allen,BUF,25,QB,17,17,11-6-0,64.7,409,646,63.31,4407,36,5.57,15,2.32,234,61,6.82,6.89,10.78,259.24,92.17,60.7,26,164,3.87,6.31,6.38,,,"W%,Y/A",0.576,,,,,
Derek Carr,LVR,30,QB,17,17,10-7-0,58.8,428,626,68.37,4804,23,3.67,14,2.24,217,61,7.67,7.4,11.22,282.59,93.96,52.4,40,241,6.01,6.85,6.6,3,6,"W%, Rate",0.714,,,,,
Ben Roethlisberger,PIT,39,QB,16,16,9-7-0,56.3,390,605,64.46,3740,22,3.64,10,1.65,188,59,6.18,6.17,9.59,233.75,86.79,35.6,38,239,5.91,5.44,5.43,6,7,"W%, QBR",0.831,,,,,
Trevor Lawrence,JAX,22,QB,17,17,3-14-0,17.6,359,602,59.63,3641,12,1.99,17,2.82,177,58,6.05,5.18,10.14,214.18,71.86,33.5,32,238,5.05,5.37,4.54,1,2,"W%, ANY/A",0.73,,,,,
Matthew Stafford,LAR,33,QB,17,17,12-5-0,70.6,404,601,67.22,4886,41,6.82,17,2.83,233,79,8.13,8.22,12.09,287.41,102.93,63.8,30,243,4.75,7.36,7.45,3,4,"W%, Cmp",0.574,,,,,
Dak Prescott,DAL,28,QB,16,16,11-5-0,68.8,410,596,68.79,4449,37,6.21,10,1.68,227,51,7.46,7.95,10.85,278.06,104.22,54.6,30,144,4.79,6.88,7.34,1,2,"W%, TD",0.719,,,,,
Kirk Cousins*,MIN,33,QB,16,16,8-8-0,50,372,561,66.31,4221,33,5.88,7,1.25,192,64,7.52,8.14,11.35,263.81,103.1,52.3,28,197,4.75,6.83,7.42,3,4,"W%, INT",0.1,,,,,
Matt Ryan,ATL,36,QB,17,17,7-10-0,41.2,375,560,66.96,3968,20,3.57,12,2.14,195,64,7.09,6.84,10.58,233.41,90.39,46.1,40,274,6.67,6.16,5.92,3,4,"W%, Y",0.629,,,,,
Aaron Rodgers*+,GNB,38,QB,16,16,13-3-0,81.3,366,531,68.93,4115,37,6.97,4,0.75,213,75,7.75,8.8,11.24,257.19,111.9,69.1,30,188,5.35,7,8,1,2,,,,,,,
Ryan Tannehill,TEN,33,QB,17,17,12-5-0,70.6,357,531,67.23,3734,21,3.95,14,2.64,192,57,7.03,6.64,10.46,219.65,89.61,55.9,47,327,8.13,5.89,5.53,3,4,,,,,,,
Mac Jones*,NWE,23,QB,17,17,10-7-0,58.8,352,521,67.56,3801,22,4.22,13,2.5,177,75,7.3,7.02,10.8,223.59,92.46,50.9,28,241,5.1,6.48,6.22,1,1,,,,,,,
Joe Burrow,CIN,25,QB,16,16,10-6-0,62.5,366,520,70.38,4611,34,6.54,14,2.69,202,82,8.87,8.96,12.6,288.19,108.26,54.3,51,370,8.93,7.43,7.51,2,3,,,,,,,
Carson Wentz,IND,29,QB,17,17,9-8-0,52.9,322,516,62.4,3563,27,5.23,7,1.36,165,76,6.91,7.34,11.07,209.59,94.65,54.7,32,227,5.84,6.09,6.5,,,,,,,,,
Taylor Heinicke,WAS,28,QB,16,15,7-8-0,46.7,321,494,64.98,3419,20,4.05,15,3.04,167,73,6.92,6.36,10.65,213.69,85.91,39.9,38,278,7.14,5.9,5.39,3,4,,,,,,,
